cp,tp
0,0.000509519
0,0.000499429
0,0.00048934
0,0.00048934
0,0.00047925
0,0.000470842
0,0.000460753
0,0.000455708
0,0.000455708
0,0.000455708
0,0.000455708
0,0.000455708
0,0.000452345
0,0.000450663
0,0.000448982
0,0.000448982
0,0.000448982
0,0.000448982
0,0.000448982
0,0.000452345
0,0.00045739
0,0.000462434
0,0.000467479
0,0.000477569
0,0.000485977
0,0.000496066
0,0.000502792
0,0.000509519
0,0.000514563
0,0.000519608
0,0.000522971
0,0.000524653
0,0.000524653
0,0.000526335
0,0.00052129
0,0.000514563
0,0.000507837
0,0.000499429
0,0.000491021
0,0.000484295
0,0.000474206
0,0.000467479
0,0.00045739
0,0.000445619
0,0.000435529
0,0.000427121
0,0.000420395
0,0.00041535
0,0.000410305
0,0.000403579
0,0.000401898
0,0.000400216
0,0.000396853
0,0.000395171
0,0.000391808
0,0.000388445
0,0.000385082
0,0.000380037
0,0.000373311
0,0.000366584
0,0.000358177
0,0.000358177
0,0.000364903
0,0.000368266
0,0.000374992
0,0.000371629
0,0.000368266
0,0.000364903
0,0.000363221
0,0.000358177
0,0.00035145
0,0.000344724
0,0.000336316
0,0.00032959
0,0.000321182
0,0.000312774
0,0.000306048
0,0.000302684
0,0.000301003
0,0.00029764
0,0.000295958
0,0.000294276
0,0.000292595
0,0.000292595
0,0.000290913
0,0.000290913
0,0.000290913
0,0.000290913
0,0.00028755
0,0.000282505
0,0.000275779
0,0.000272416
0,0.000267371
0,0.000264008
0,0.000260645
0,0.000257282
0,0.000253919
0,0.000252237
0,0.000250555
0,0.000250555
0,0.000252237
0,0.000252237
0,0.000253919
0,0.0002556
0,0.0002556
0,0.0002556
0,0.0002556
0,0.000253919
0,0.000252237
0,0.000250555
0,0.000250555
0,0.000248874
0,0.000247192
0,0.000245511
0,0.000243829
0,0.000242148
0,0.000240466
0,0.000238784
0,0.000237103
0,0.000238784
0,0.000242148
0,0.000245511
0,0.000245511
0,0.000245511
0,0.000247192
0,0.000247192
0,0.000247192
0,0.000245511
0,0.000243829
0,0.000242148
0,0.000238784
0,0.000235421
0,0.000232058
0,0.000228695
0,0.000225332
0,0.00022365
0,0.000221969
0,0.000220287
0,0.000220287
0,0.000220287
0,0.000220287
0,0.000220287
0,0.000218605
0,0.000215242
0,0.000213561
0,0.000210197
0,0.000210197
0,0.000208516
0,0.000206834
0,0.000205153
0,0.000203471
0,0.000203471
0,0.00020179
0,0.00020179
0,0.000200108
0,0.000196745
0,0.000195063
0,0.0001917
0,0.000188337
0,0.000184974
0,0.000181611
0,0.000179929
0,0.000176566
0,0.000174884
0,0.000173203
0,0.000171521
0,0.00016984
0,0.000168158
0,0.000166476
0,0.000164795
0,0.000164795
0,0.000164795
0,0.000164795
0,0.000163113
0,0.000161432
0,0.00015975
0,0.00015975
0,0.000161432
0,0.000161432
0,0.000161432
0,0.000164795
0,0.000164795
0,0.000166476
0,0.000168158
0,0.00016984
0,0.000171521
0,0.000173203
0,0.000174884
0,0.000176566
0,0.000178247
0,0.000179929
0,0.000179929
0,0.000181611
0,0.000181611
0,0.000183292
0,0.000183292
0,0.000186655
0,0.000186655
0,0.000188337
0,0.000190019
0,0.000193382
0,0.000195063
0,0.000198426
0,0.000200108
0,0.000203471
0,0.000206834
0,0.000210197
0,0.000211879
0,0.000213561
0,0.000215242
0,0.000218605
0,0.000221969
0,0.000227013
0,0.000230376
0,0.000235421
0,0.000238784
0,0.000243829
0,0.000248874
0,0.000252237
0,0.000258963
0,0.00026569
0,0.000272416
0,0.000277461
0,0.000284187
0,0.000289232
0,0.000295958
0,0.000302684
0,0.000307729
0,0.000312774
0,0.000317819
0,0.000322863
0,0.000324545
0,0.000327908
0,0.00032959
0,0.000331271
0,0.000331271
0,0.000331271
0,0.000331271
0,0.00032959
0,0.000324545
0,0.000321182
0,0.000317819
0,0.000316137
0,0.000312774
0,0.000309411
0,0.000306048
0,0.000302684
0,0.000299321
0,0.000295958
0,0.000295958
0,0.00029764
0,0.000301003
0,0.000302684
0,0.000306048
0,0.000309411
0,0.000311092
0,0.000314455
0,0.000314455
0,0.000311092
0,0.000311092
0,0.000309411
0,0.000309411
0,0.000309411
0,0.000311092
0,0.000311092
0,0.000316137
0,0.0003195
0,0.000322863
0,0.000327908
0,0.00032959
0,0.000332953
0,0.000336316
0,0.000337998
0,0.000339679
0,0.000343042
0,0.000344724
0,0.000346405
0,0.000349769
0,0.00035145
0,0.000354813
0,0.000356495
0,0.000358177
0,0.000359858
0,0.000363221
0,0.000364903
0,0.000368266
0,0.000371629
0,0.000374992
0,0.000380037
0,0.000386763
0,0.00039349
0,0.000396853
0,0.000400216
0,0.000401898
0,0.000405261
0,0.000406942
0,0.000405261
0,0.000403579
0,0.000401898
0,0.000398534
0,0.00039349
0,0.000388445
0,0.000385082
0,0.000381719
0,0.000378355
0,0.000373311
0,0.000368266
0,0.000368266
0,0.000368266
0,0.000368266
0,0.000366584
0,0.000364903
0,0.00036154
0,0.000358177
0,0.000356495
0,0.000349769
0,0.000344724
0,0.000337998
0,0.000332953
0,0.00032959
0,0.000326226
0,0.000322863
0,0.0003195
0,0.000317819
0,0.000316137
0,0.000316137
0,0.000312774
0,0.000309411
0,0.000307729
0,0.000304366
0,0.000302684
0,0.000299321
0,0.00029764
0,0.000295958
0,0.000299321
0,0.000301003
0,0.000304366
0,0.000307729
0,0.000309411
0,0.000311092
0,0.000314455
0,0.000316137
0,0.000316137
0,0.000316137
0,0.000316137
0,0.000316137
0,0.000317819
0,0.000321182
0,0.000324545
0,0.000327908
0,0.000332953
0,0.000337998
0,0.000344724
0,0.000349769
0,0.000356495
0,0.000363221
0,0.000369948
0,0.000374992
0,0.000381719
0,0.000388445
0,0.000395171
0,0.000403579
0,0.000411987
0,0.000420395
0,0.000427121
0,0.000432166
0,0.000438892
0,0.000445619
0,0.000450663
0,0.000455708
0,0.000459071
0,0.000464116
0,0.000467479
0,0.000472524
0,0.000477569
0,0.000480932
0,0.000487658
0,0.000494384
0,0.000499429
0,0.000506156
0,0.000512882
0,0.00052129
0,0.000528016
0,0.000533061
0,0.000539787
0,0.000544832
0,0.000551558
0,0.000556603
0,0.000563329
0,0.000570056
0,0.0005751
0,0.000581827
0,0.000586871
0,0.000591916
0,0.000598642
0,0.000600324
0,0.000602006
0,0.000602006
0,0.000602006
0,0.000602006
0,0.000603687
0,0.000605369
0,0.000605369
0,0.000600324
0,0.000591916
0,0.00058519
0,0.000578463
0,0.000566692
0,0.000554921
0,0.00054315
0,0.000534742
0,0.000528016
0,0.000522971
0,0.000517927
0,0.000514563
0,0.000517927
0,0.000519608
0,0.000522971
0,0.000528016
0,0.000534742
0,0.000541469
0,0.000548195
0,0.00055324
0,0.000558285
0,0.000563329
0,0.000570056
0,0.000580145
0,0.000590235
0,0.000600324
0,0.000612095
0,0.000618821
0,0.000625548
0,0.000632274
0,0.000642364
0,0.000642364
0,0.000642364
0,0.000642364
0,0.000628911
0,0.00060705
0,0.000583508
0,0.000559966
0,0.000522971
0,0.000482613
0,0.000442256
0,0.000401898
0,0.00039349
0,0.000381719
0,0.000371629
0,0.000359858
0,0.000373311
0,0.000391808
0,0.000408624
0,0.000417032
0,0.000430484
0,0.000448982
0,0.000467479
0,0.000480932
0,0.000445619
0,0.000406942
0,0.000368266
0,0.000341361
0,0.0003195
0,0.00029764
0,0.000274098
0,0.000267371
0,0.000279142
0,0.000290913
0,0.000302684
0,0.000321182
0,0.000349769
0,0.000376674
0,0.000403579
0,0.000401898
0,0.000388445
0,0.000373311
0,0.000358177
0,0.000349769
0,0.000343042
0,0.000332953
0,0.000324545
0,0.000324545
0,0.000324545
0,0.000326226
0,0.000327908
0,0.000326226
0,0.000324545
0,0.000324545
0,0.000322863
0,0.0003195
0,0.000316137
0,0.000311092
0,0.000311092
0,0.000307729
0,0.000304366
0,0.000301003
0,0.000301003
0,0.000295958
0,0.000292595
0,0.000289232
0,0.000295958
0,0.000302684
0,0.000311092
0,0.000317819
0,0.000331271
0,0.000344724
0,0.000358177
0,0.000359858
0,0.000354813
0,0.000349769
0,0.000343042
0,0.000332953
0,0.00032959
0,0.000326226
0,0.000322863
0,0.000324545
0,0.000321182
0,0.000314455
0,0.000309411
0,0.000311092
0,0.000312774
0,0.000314455
0,0.000316137
0,0.000334634
0,0.000353132
0,0.000371629
0,0.000381719
0,0.000359858
0,0.000336316
0,0.000314455
0,0.000301003
0,0.000295958
0,0.000289232
0,0.000285869
0,0.000279142
0,0.000274098
0,0.000270734
0,0.000267371
0,0.000257282
0,0.000243829
0,0.000228695
0,0.000215242
0,0.000243829
0,0.000304366
0,0.000366584
0,0.000428803
0,0.000445619
0,0.000443937
0,0.000442256
0,0.000430484
0,0.00036154
0,0.000290913
0,0.000220287
0,0.00016984
0,0.000164795
0,0.00015975
0,0.000154705
0,0.000144616
0,0.000136208
0,0.0001278
0,0.000119392
0,0.000122755
0,0.000136208
0,0.000147979
0,0.000161432
0,0.000158069
0,0.000146297
0,0.000136208
0,0.000126118
0,0.000200108
0,0.000279142
0,0.000358177
0,0.000422077
0,0.000373311
0,0.000322863
0,0.000272416
0,0.000245511
0,0.000260645
0,0.000277461
0,0.000292595
0,0.000280824
0,0.000243829
0,0.000208516
0,0.000171521
0,0.000151342
0,0.00013789
0,0.000126118
0,0.000112666
0,0.000100895
0,9.25E-05
0,8.24E-05
0,7.40E-05
0,0.000114347
0,0.000154705
0,0.000195063
0,0.000230376
0,0.000228695
0,0.00022365
0,0.000221969
0,0.000206834
0,0.000208516
0,0.000211879
0,0.000215242
0,0.000230376
0,0.000264008
0,0.000295958
0,0.000327908
0,0.000339679
0,0.000334634
0,0.000331271
0,0.000326226
0,0.000343042
0,0.000374992
0,0.000406942
0,0.000438892
0,0.000474206
0,0.000524653
0,0.000573419
0,0.000623866
0,0.000630592
0,0.000625548
0,0.000622185
0,0.000618821
0,0.000591916
0,0.000556603
0,0.00052129
0,0.000494384
0,0.000477569
0,0.000459071
0,0.000442256
0,0.000427121
0,0.000406942
0,0.000386763
0,0.000366584
0,0.00035145
0,0.000348087
0,0.000344724
0,0.000339679
0,0.000337998
0,0.000337998
0,0.000337998
0,0.000336316
0,0.000332953
0,0.000331271
0,0.00032959
0,0.000327908
0,0.000322863
0,0.000317819
0,0.000314455
0,0.000309411
0,0.000304366
0,0.000301003
0,0.000295958
0,0.000292595
